Location,Routing,Routing - Copy,Location - Copy,
"Circle, AK",IRC,IRC,"Circle, AK",
"Ciudad Bolivar, Venezuela",CBL,CBL,"Ciudad Bolivar, Venezuela",
"Ciudad Del Carmen, Mexico",CME,CME,"Ciudad Del Carmen, Mexico",
"Ciudad del Este, Paraguay",AGT,AGT,"Ciudad del Este, Paraguay",
"Ciudad Juarez, Mexico",CJS,CJS,"Ciudad Juarez, Mexico",
"Ciudad Obregon, Mexico",CEN,CEN,"Ciudad Obregon, Mexico",
"Ciudad Victoria, Mexico",CVM,CVM,"Ciudad Victoria, Mexico",
"Clarks Point, AK",CLP,CLP,"Clarks Point, AK",
"Clarksburg, WV",CKB,CKB,"Clarksburg, WV",
"Clearwater/St Petersburg, FL",PIE,PIE,"Clearwater/St Petersburg, FL",
"Clermont-ferrand, France",CFE,CFE,"Clermont-ferrand, France",
"Cleve, Australia",CVC,CVC,"Cleve, Australia",
"Cleveland, OH",CLE,CLE,"Cleveland, OH",
"Cloncurry, Australia",CNJ,CNJ,"Cloncurry, Australia",
"Clovis, NM",CVN,CVN,"Clovis, NM",
"Club Makokola, Malawi",CMK,CMK,"Club Makokola, Malawi",
"Cluj, Romania",CLJ,CLJ,"Cluj, Romania",
"Clyde River, NU",YCY,YCY,"Clyde River, NU",
"Cobar, Australia",CAZ,CAZ,"Cobar, Australia",
"Cobija, Bolivia",CIJ,CIJ,"Cobija, Bolivia",
"Cobourg, ON - Rail service",XGJ,XGJ,"Cobourg, ON - Rail service",
"Cochabamba, Bolivia",CBB,CBB,"Cochabamba, Bolivia",
"Cochin, India",COK,COK,"Cochin, India",
"Coconut Island, Australia",CNC,CNC,"Coconut Island, Australia",
"Cocos Islands, Cocos",Keeling,Keeling,"Cocos Islands, Cocos",
"Cody/Yellowstone, WY",COD,COD,"Cody/Yellowstone, WY",
"Coen, Australia",CUQ,CUQ,"Coen, Australia",
"Coffee Point, AK",CFA,CFA,"Coffee Point, AK",
"Coffman Cove, AK",KCC,KCC,"Coffman Cove, AK",
"Coffs Harbor, Australia",CFS,CFS,"Coffs Harbor, Australia",
"Coimbatore, India",CJB,CJB,"Coimbatore, India",
"Cold Bay, AK",CDB,CDB,"Cold Bay, AK",
"Colima, Mexico",CLQ,CLQ,"Colima, Mexico",
"College Station, TX",CLL,CLL,"College Station, TX",
"Cologne, Germany - Cologne/Bonn",CGN,CGN,"Cologne, Germany - Cologne/Bonn",
"Cologne, Germany - Rail service",QKL,QKL,"Cologne, Germany - Rail service",
"Colombo, Sri Lanka",CMB,CMB,"Colombo, Sri Lanka",
"Colon, Panama",ONX,ONX,"Colon, Panama",
"Colorado Springs, CO",COS,COS,"Colorado Springs, CO",
"Columbia, MO",COU,COU,"Columbia, MO",
"Columbia, SC",CAE,CAE,"Columbia, SC",
"Columbus, GA",CSG,CSG,"Columbus, GA",
"Columbus, MS",GTR,GTR,"Columbus, MS",
"Columbus, OH",CMH,CMH,"Columbus, OH",
"Colville Lake, NT",YCK,YCK,"Colville Lake, NT",
"Comox, BC",YQQ,YQQ,"Comox, BC",
"Conakry, Guinea",CKY,CKY,"Conakry, Guinea",
"Concepcion, Chile",CCP,CCP,"Concepcion, Chile",
"Concord, CA",CCR,CCR,"Concord, CA",
"Concordia, Argentina",COC,COC,"Concordia, Argentina",
"Concordia, KS",CNK,CNK,"Concordia, KS",
"Condoto, Colombia",COG,COG,"Condoto, Colombia",
"Constanta, Romania",CND,CND,"Constanta, Romania",
"Constantine, Algeria",CZL,CZL,"Constantine, Algeria",
"Contadora, Panama",OTD,OTD,"Contadora, Panama",
"Coober Pedy, Australia",CPD,CPD,"Coober Pedy, Australia",
"Cooktown, Australia",CTN,CTN,"Cooktown, Australia",
"Cooma, NS, Australia",OOM,OOM,"Cooma, NS, Australia",
"Coonamble, Australia",CNB,CNB,"Coonamble, Australia",
"Copenhagen, Denmark",CPH,CPH,"Copenhagen, Denmark",
"Copiapo, Chile",CPO,CPO,"Copiapo, Chile",
"Copper Mountain, CO - Van service",QCE,QCE,"Copper Mountain, CO - Van service",
"Coral Harbour, NU",YZS,YZS,"Coral Harbour, NU",
"Cordoba, Argentina",COR,COR,"Cordoba, Argentina",
"Cordova, AK",CDV,CDV,"Cordova, AK",
"Cork, Ireland",ORK,ORK,"Cork, Ireland",
"Cornwall, ON",YCC,YCC,"Cornwall, ON",
"Coro, Venezuela",CZE,CZE,"Coro, Venezuela",
"Corozal, Belize",CZH,CZH,"Corozal, Belize",
"Corpus Christi, TX",CRP,CRP,"Corpus Christi, TX",
"Corrientes, Argentina",CNQ,CNQ,"Corrientes, Argentina",
"Cortez, CO",CEZ,CEZ,"Cortez, CO",
"Corumba, Brazil",CMG,CMG,"Corumba, Brazil",
"Corvo Island, Portugal",CVU,CVU,"Corvo Island, Portugal",
"Cotabato, Philippines",CBO,CBO,"Cotabato, Philippines",
"Cotarou, Benin",COC,COC,"Cotarou, Benin",
"Coteau, QC - Rail service",XGK,XGK,"Coteau, QC - Rail service",
"Courtenay, BC",YCA,YCA,"Courtenay, BC",
"Cox's Bazar, Bangladesh",CXB,CXB,"Cox's Bazar, Bangladesh",
"Cozumel, Mexico",CZM,CZM,"Cozumel, Mexico",
"Craig Cove, Vanuatu",CCV,CCV,"Craig Cove, Vanuatu",
"Craig, AK",CGA,CGA,"Craig, AK",
"Cranbrook, BC",YXC,YXC,"Cranbrook, BC",
"Crescent City, CA",CEC,CEC,"Crescent City, CA",
"Criciuma, Brazil",CCM,CCM,"Criciuma, Brazil",
"Croker Island, Australia",CKI,CKI,"Croker Island, Australia",
"Crooked Creek, AK",CKO,CKO,"Crooked Creek, AK",
"Crooked Island, Bahamas",CRI,CRI,"Crooked Island, Bahamas",
"Cross Lake, MB",YCR,YCR,"Cross Lake, MB",
"Crotone, Italy",CRV,CRV,"Crotone, Italy",
"Cruzeiro Do Sul, Brazil",CZS,CZS,"Cruzeiro Do Sul, Brazil",
"Cube Cove, AK",CUW,CUW,"Cube Cove, AK",
"Cucata, Colombia",CUC,CUC,"Cucata, Colombia",
"Cuenca, Ecuador",CUE,CUE,"Cuenca, Ecuador",
"Cuernavaca, Mexico",CVJ,CVJ,"Cuernavaca, Mexico",
"Cuiaba, Brazil",CGB,CGB,"Cuiaba, Brazil",
"Culiacan, Mexico",CUL,CUL,"Culiacan, Mexico",
"Cumana, Venezuela",CUM,CUM,"Cumana, Venezuela",
"Cumberland, MD",CBE,CBE,"Cumberland, MD",
"Cunnamulla, Australia",CMA,CMA,"Cunnamulla, Australia",
"Curacao, Netherlands Antilles",CUR,CUR,"Curacao, Netherlands Antilles",
"Curitiba, Brazil",CWB,CWB,"Curitiba, Brazil",
"Cuzco, Peru",CUZ,CUZ,"Cuzco, Peru",
"Da Nang, Viet Nam",DAD,DAD,"Da Nang, Viet Nam",
"Dabra, Indonesia",DRH,DRH,"Dabra, Indonesia",
"Daegu, South Korea",TAE,TAE,"Daegu, South Korea",
"Dakar, Senegal",DKR,DKR,"Dakar, Senegal",
"Dakhla, Morocco",VIL,VIL,"Dakhla, Morocco",
"Dalaman, Turkey",DLM,DLM,"Dalaman, Turkey",
"Dalat, Viet Nam - Lienkhang DLI)",,,"Dalat, Viet Nam - Lienkhang DLI)",
"Dali City, China",DLU,DLU,"Dali City, China",
"Dalian, China",DLC,DLC,"Dalian, China",
"Dallas, TX - Dallas/Ft Worth Intl.",DFW,DFW,"Dallas, TX - Dallas/Ft Worth Intl.",
"Dallas, TX - Love Field",DAL,DAL,"Dallas, TX - Love Field",
"Damascus, Syrian Arab Republic",DAM,DAM,"Damascus, Syrian Arab Republic",
"Dammam, Saudi Arabia",DMM,DMM,"Dammam, Saudi Arabia",
"Dangriga, Belize",DGA,DGA,"Dangriga, Belize",
"Dar Es Salaam, Tanzania",DAR,DAR,"Dar Es Salaam, Tanzania",
"Darnley Island, QL, Australia",NLF,NLF,"Darnley Island, QL, Australia",
"Daru, Papua New Guinea",DAU,DAU,"Daru, Papua New Guinea",
"Darwin, Northern Territory, Australia",DRW,DRW,"Darwin, Northern Territory, Australia",
"Datadawai, Indonesia",DTD,DTD,"Datadawai, Indonesia",
"Dauphin, MB",YDN,YDN,"Dauphin, MB",
"Davao, Philipines - Mati",DVO,DVO,"Davao, Philipines - Mati",
"David, Panama",DAV,DAV,"David, Panama",
"Davis Inlet, NL",YDI,YDI,"Davis Inlet, NL",
"Dawe, Myanmar",TVY,TVY,"Dawe, Myanmar",
"Dawson City, YT",YDA,YDA,"Dawson City, YT",
"Dawson Creek, BC",YDQ,YDQ,"Dawson Creek, BC",
"Daxian, China",DAX,DAX,"Daxian, China",
"Dayang, China",DYG,DYG,"Dayang, China",
"Daydream Is, Australia",DDI,DDI,"Daydream Is, Australia",
"Dayton, OH",DAY,DAY,"Dayton, OH",
"Daytona Beach, FL",DAB,DAB,"Daytona Beach, FL",
"Deauville, France",DOL,DOL,"Deauville, France",
"Debra Marcos, Ethiopia",DBM,DBM,"Debra Marcos, Ethiopia",
"Debra Tabor, Ethiopia",DBT,DBT,"Debra Tabor, Ethiopia",
"Decatur, IL",DEC,DEC,"Decatur, IL",
"Deer Lake, NL",YDF,YDF,"Deer Lake, NL",
"Deer Lake, ON",YVZ,YVZ,"Deer Lake, ON",
"Deering, AK",DRG,DRG,"Deering, AK",
"Deirezzor, Syria - Al Jafrah",DEZ,DEZ,"Deirezzor, Syria - Al Jafrah",
"Del Reo, TX",DRT,DRT,"Del Reo, TX",
"Delhi, India",DEL,DEL,"Delhi, India",
"Deline, NT",YWJ,YWJ,"Deline, NT",
"Delta Junction, AK",DJN,DJN,"Delta Junction, AK",
"Dembidollo, Ethiopia",DEM,DEM,"Dembidollo, Ethiopia",
"Denham, Australia",DNM,DNM,"Denham, Australia",
"Denizli, Turkey",DNZ,DNZ,"Denizli, Turkey",
"Denpasar Bali, Indonesia",DPS,DPS,"Denpasar Bali, Indonesia",
"Denver, CO - International",DEN,DEN,"Denver, CO - International",
"Denver, CO - Longmont Bus service",QWM,QWM,"Denver, CO - Longmont Bus service",
"Dera Ghazi, Pakistan",DEA,DEA,"Dera Ghazi, Pakistan",
"Dera Ismail Khan, Pakistan",DSK,DSK,"Dera Ismail Khan, Pakistan",
"Derby, Australia",DRB,DRB,"Derby, Australia",
"Derim, Papua New Guinea",DER,DER,"Derim, Papua New Guinea",
"Des Moines, IA",DSM,DSM,"Des Moines, IA",
"Dessie, Ethiopia",DSE,DSE,"Dessie, Ethiopia",
"Detroit, MI - All airports",DTT,DTT,"Detroit, MI - All airports",
"Detroit, MI - Metro/Wayne County",DTW,DTW,"Detroit, MI - Metro/Wayne County",
"Devil's Lake, ND",DVL,DVL,"Devil's Lake, ND",
"Devonport, Australia",DPO,DPO,"Devonport, Australia",
"Dhaka, Bangledesh - Zia International",DAC,DAC,"Dhaka, Bangledesh - Zia International",
"Dibrugarn, India",DIB,DIB,"Dibrugarn, India",
"Dickinson, ND",DIK,DIK,"Dickinson, ND",
"Dien Bien Phu, Viet Nam - Gialam",DIN,DIN,"Dien Bien Phu, Viet Nam - Gialam",
"Dijon, France",DIJ,DIJ,"Dijon, France",
"Dili, Indonesia",DIL,DIL,"Dili, Indonesia",
"Dillingham, AK",DLG,DLG,"Dillingham, AK",
"Dillons Bay, Vanuata",DLY,DLY,"Dillons Bay, Vanuata",
"Dimapur, India",DMU,DMU,"Dimapur, India",
"Dinard, France",DNR,DNR,"Dinard, France",
"Dipolog, Philippines",DPL,DPL,"Dipolog, Philippines",
"Dire Dawa, Ethiopia",DIR,DIR,"Dire Dawa, Ethiopia",
"Div, India",DIU,DIU,"Div, India",
"Diyarbakir, Turkey",DIY,DIY,"Diyarbakir, Turkey",
"Djanet, Algeria",DJG,DJG,"Djanet, Algeria",
"Djerba, Tunisia",DJE,DJE,"Djerba, Tunisia",
"Djibouti, Djibouti",JIB,JIB,"Djibouti, Djibouti",
"Dnepropetrovsk, Ukraine",DNK,DNK,"Dnepropetrovsk, Ukraine",
"Dobo, Indonesia",DOB,DOB,"Dobo, Indonesia",
"Dodge City, KS",DDC,DDC,"Dodge City, KS",
"Dodoima, Papua New Guinea",DDM,DDM,"Dodoima, Papua New Guinea",
